,排名,上年排名,公司名称(中英文),营业收入(百万美元),利润(百万美元),国家
0,1,1,沃尔玛（WALMART),500343.0,9862,美国
1,2,2,国家电网公司（STATE GRID),348903.1,9533.4,中国
2,3,3,中国石油化工集团公司（SINOPEC GROUP),326953.0,1537.8,中国
3,4,4,中国石油天然气集团公司（CHINA NATIONAL PETROLEUM),326007.6,-690.5,中国
4,5,7,荷兰皇家壳牌石油公司（ROYAL DUTCH SHELL),311870.0,12977,荷兰
5,6,5,丰田汽车公司（TOYOTA MOTOR),265172.0,22510.1,日本
6,7,6,大众公司（VOLKSWAGEN),260028.4,13107.3,德国
7,8,12,英国石油公司（BP),244582.0,3389,英国
8,9,10,埃克森美孚（EXXON MOBIL),244363.0,19710,美国
9,10,8,伯克希尔－哈撒韦公司（BERKSHIRE HATHAWAY),242137.0,44940,美国
10,11,9,苹果公司（APPLE),229234.0,48351,美国
11,12,15,三星电子（SAMSUNG ELECTRONICS),211940.2,36575.4,韩国
12,13,11,麦克森公司（MCKESSON),208357.0,67,美国
13,14,16,嘉能可（GLENCORE),205476.0,5777,瑞士
14,15,13,联合健康集团（UNITEDHEALTH GROUP),201159.0,10558,美国
15,16,17,戴姆勒股份公司（DAIMLER),185235.4,11863.9,德国
16,17,14,CVS Health公司（CVS HEALTH),184765.0,6622,美国
17,18,26,亚马逊（AMAZON.COM),177866.0,3033,美国
18,19,20,EXOR集团（EXOR GROUP),161676.5,1569.1,荷兰
19,20,19,美国电话电报公司（AT&T),160546.0,29450,美国
20,21,18,通用汽车公司（GENERAL MOTORS),157311.0,-3864,美国
21,22,21,福特汽车公司（FORD MOTOR),156776.0,7602,美国
22,23,24,中国建筑工程总公司（CHINA STATE CONSTRUCTION ENGINEERING),156070.8,2675.2,中国
23,24,27,鸿海精密工业股份有限公司（HON HAI PRECISION INDUSTRY),154699.2,4559.9,中国
24,25,23,美源伯根公司（AMERISOURCEBERGEN),153143.8,364.5,美国
25,26,22,中国工商银行（INDUSTRIAL & COMMER. BANK OF CHINA),153021.3,42323.7,中国
26,27,25,安盛（AXA),149460.9,6998.9,法国
27,28,30,道达尔公司（TOTAL),149099.0,8631,法国
28,29,39,中国平安保险（集团）股份有限公司（PING AN INSURANCE),144196.8,13181.4,中国
29,30,29,本田汽车（HONDA MOTOR),138645.8,9561.3,日本
30,31,28,中国建设银行（CHINA CONSTRUCTION BANK),138594.1,35845.2,中国
31,32,54,托克集团（TRAFIGURA GROUP),136420.7,847.7,新加坡
32,33,45,雪佛龙（CHEVRON),134533.0,9195,美国
33,34,35,康德乐（CARDINAL HEALTH),129976.0,1288,美国
34,35,36,好市多（COSTCO WHOLESALE),129025.0,2679,美国
35,36,41,上海汽车集团股份有限公司（SAIC MOTOR),128819.3,5091.3,中国
36,37,32,威瑞森电信（VERIZON COMMUNICATIONS),126034.0,30101,美国
37,38,34,安联保险集团（ALLIANZ),123531.6,7668.4,德国
38,39,40,克罗格（KROGER),122662.0,1907,美国
39,40,38,中国农业银行（AGRICULTURAL BANK OF CHINA),122365.5,28550.4,中国
40,41,31,通用电气公司（GENERAL ELECTRIC),122274.0,-5786,美国
41,42,51,中国人寿保险（集团）公司（CHINA LIFE INSURANCE),120224.1,266.5,中国
42,43,37,沃博联（WALGREENS BOOTS ALLIANCE),118214.0,4078,美国
43,44,43,法国巴黎银行（BNP PARIBAS),117374.7,8746.1,法国
44,45,33,日本邮政控股公司（JAPAN POST HOLDINGS),116616.0,4157.5,日本
45,46,42,中国银行（BANK OF CHINA),115422.7,25509.2,中国
46,47,48,摩根大通公司（JPMORGAN CHASE & CO.),113899.0,24441,美国
47,48,46,房利美（FANNIE MAE),112394.0,2463,美国
48,49,63,俄罗斯天然气工业股份公司（GAZPROM),111982.6,12249.9,俄罗斯
49,50,56,英国保诚集团（PRUDENTIAL),111458.0,3076.1,英国
50,51,52,宝马集团（BMW),111231.4,9716.6,德国
51,52,65,Alphabet公司（ALPHABET),110855.0,12662,美国
52,53,47,中国移动通信集团公司（CHINA MOBILE COMMUNICATIONS),110158.5,10932,中国
53,54,44,日产汽车（NISSAN MOTOR),107868.2,6741.3,日本
54,55,50,日本电报电话公司（NIPPON TEL. & TEL.),106500.1,8210.7,日本
55,56,55,中国铁路工程总公司（CHINA RAILWAY ENGINEERING),102767.1,1169.8,中国
56,57,59,家得宝（HOME DEPOT),100904.0,8630,美国
57,58,58,中国铁道建筑总公司（CHINA RAILWAY CONSTRUCTION),100854.8,1308.8,中国
58,59,57,意大利忠利保险公司（ASSICURAZIONI GENERALI),100552.1,2378.4,意大利
59,60,62,美国银行（BANK OF AMERICA CORP.),100264.0,18232,美国
60,61,53,美国快捷药方控股公司（EXPRESS SCRIPTS HOLDING),100064.6,4517.4,美国
61,62,61,美国富国银行（WELLS FARGO),97741.0,22183,美国
62,63,102,卢克石油公司（LUKOIL),93896.6,7182.3,俄罗斯
63,64,60,波音（BOEING),93392.0,8197,美国
64,65,68,东风汽车公司（DONGFENG MOTOR),93293.8,1400,中国
65,66,66,西门子（SIEMENS),91584.7,6667.4,德国
66,67,96,Phillips 66公司（PHILLIPS 66),91568.0,5106,美国
67,68,67,家乐福（CARREFOUR),91276.3,-598.6,法国
68,69,64,雀巢公司（NESTLÉ),91221.7,7297.4,瑞士
69,70,70,Anthem公司（ANTHEM),90039.4,3842.8,美国
70,71,69,微软（MICROSOFT),89950.0,21204,美国
71,72,83,华为投资控股有限公司（HUAWEI INVESTMENT & HOLDING),89311.4,7020.8,中国
72,73,75,巴西国家石油公司（PETROBRAS),88827.0,-91,巴西
73,74,106,瓦莱罗能源公司（VALERO ENERGY),88407.0,4065,美国
74,75,76,博世集团（BOSCH GROUP),87997.2,3103.2,德国
75,76,74,花旗集团（CITIGROUP),87966.0,-6798,美国
76,77,73,西班牙国家银行（BANCO SANTANDER),87400.9,7461,西班牙
77,78,78,现代汽车（HYUNDAI MOTOR),85259.0,3567.6,韩国
78,79,71,日立（HITACHI),84558.7,3276.2,日本
79,80,79,美国康卡斯特电信公司（COMCAST),84526.0,22714,美国
80,81,77,德国电信（DEUTSCHE TELEKOM),84481.4,3901.3,德国
81,82,80,法国农业信贷银行（CRÉDIT AGRICOLE),84222.2,4113.2,法国
82,83,84,意大利国家电力公司（ENEL),84134.3,4259.7,意大利
83,84,95,SK集团（SK HOLDINGS),83543.8,1483.9,韩国
84,85,72,软银集团（SOFTBANK GROUP),82664.7,9377.5,日本
85,86,86,中国华润有限公司（CHINA RESOURCES),82184.1,3151.9,中国
86,87,115,中国海洋石油总公司（CHINA NATIONAL OFFSHORE OIL),81482.2,3018.5,中国
87,88,91,Uniper公司（UNIPER),81427.8,-739.5,德国
88,89,132,埃尼石油公司（ENI),80006.4,3803.2,意大利
89,90,88,汇丰银行控股公司（HSBC HOLDINGS),79637.0,10798,英国
90,91,103,中国交通建设集团有限公司（CHINA COMMUNICATIONS CONSTRUCTION),79416.9,1544.7,中国
91,92,81,国际商业机器公司（INTERNATIONAL BUSINESS MACHINES),79139.0,5753,美国
92,93,124,戴尔科技公司（DELL TECHNOLOGIES),78660.0,-3728,美国
93,94,82,法国电力公司（ÉLECTRICITÉ DE FRANCE),78490.3,3576.7,法国
94,95,85,州立农业保险公司（STATE FARM INSURANCE COS.),78330.8,2206.5,美国
95,96,89,太平洋建设集团（PACIFIC CONSTRUCTION GROUP),77204.5,3143.9,中国
96,97,105,索尼（SONY),77115.8,4429.8,日本
97,98,143,中国中化集团公司（SINOCHEM),76764.8,753.3,中国
98,99,127,JXTG控股有限公司（JXTG HOLDINGS),76629.0,3266.6,日本
99,100,97,强生（JOHNSON & JOHNSON),76450.0,1300,美国
100,101,276,国家能源投资集团（CHINA ENERGY INVESTMENT),75522.4,2494.9,中国
101,102,92,乐购（TESCO),75405.4,1581.8,英国
102,103,87,日本永旺集团（AEON),75338.8,220.2,日本
103,104,93,Engie集团（ENGIE),75278.8,1604,法国
104,105,94,空中客车集团（AIRBUS GROUP),75260.8,3238.5,荷兰
105,106,118,房地美（FREDDIE MAC),74676.0,5625,美国
