,0,1,2
0,名次,企业名称,营业收入(万元)
1,1,国家电网公司,207134945
2,2,中国石油天然气集团公司,188073616
3,3,中国石油化工集团公司,184977795
4,4,中国工商银行股份有限公司,107983800
5,5,中国建设银行股份有限公司,92587800
6,6,中国建筑股份有限公司,88057713
7,7,中国农业银行股份有限公司,83376600
8,8,中国银行股份有限公司,76922200
9,9,中国平安保险（集团）股份有限公司,69322000
10,10,中国移动通信集团公司,67092753
11,11,上海汽车集团股份有限公司,67044822
12,12,中国人寿保险（集团）公司,63644438
13,13,中国铁路工程总公司,62488857
14,14,中国铁道建筑总公司,60111385
15,15,国家开发银行股份有限公司,59532274
16,16,东风汽车公司,52045396
17,17,华润（集团）有限公司,48122063
18,18,中国南方电网有限责任公司,46942579
19,19,太平洋建设集团有限公司,45905631
20,20,中国兵器装备集团公司,44041718
21,21,中国邮政集团公司,43762571
22,22,中国海洋石油总公司,42607860
23,23,中国交通建设集团有限公司,42585682
24,24,中国人民保险集团股份有限公司,40601100
25,25,中粮集团有限公司,40544184
26,26,天津物产集团有限公司,40366194
27,27,华为技术有限公司,39500900
28,28,中国第一汽车集团公司,39499035
29,29,中国电信集团公司,38834967
30,30,中国兵器工业集团公司,38725293
31,31,中国中化集团公司,38116100
32,32,中国航空工业集团公司,37862420
33,33,交通银行股份有限公司,35798543
34,34,中国中信集团有限公司,35153783
35,35,苏宁控股集团有限公司,35028812
36,36,北京汽车集团有限公司,34522067
37,37,山东魏桥创业集团有限公司,33323772
38,38,联想控股股份有限公司,30982614
39,39,招商银行股份有限公司,30384300
40,40,正威国际集团有限公司,30036385
41,41,兴业银行股份有限公司,29188800
42,42,大连万达集团股份有限公司,29016000
43,43,中国电力建设集团有限公司,28661193
44,44,河钢集团有限公司,28446842
45,45,中国医药集团总公司,27855600
46,46,中国联合网络通信集团有限公司,27833943
47,47,中国华能集团公司,26822627
48,48,中国民生银行股份有限公司,26744100
49,49,上海浦东发展银行股份有限公司,26413400
50,50,中国华信能源有限公司,26315060
51,51,中国化工集团公司,26025252
52,52,中国太平洋保险（集团）股份有限公司,24720200
53,53,中国中车集团公司,24373283
54,54,中国铝业公司,23877911
55,55,冀中能源集团有限责任公司,23765521
56,56,神华集团有限责任公司,23636609
57,57,宝钢集团有限公司,23005904
58,58,中国船舶重工集团公司,22631565
59,59,中国远洋海运集团有限公司,22426441
60,60,中国冶金科工集团有限公司,22192950
61,61,陕西延长石油（集团）有限责任公司,22089657
62,62,中国机械工业集团有限公司,22079734
63,63,金川集团股份有限公司,22041320
64,64,广州汽车工业集团有限公司,21643680
65,65,恒力集团有限公司,21207961
66,66,中国能源建设集团有限公司,20878859
67,67,绿地控股集团股份有限公司,20725659
68,68,中国光大集团股份有限公司,20676600
69,69,江苏沙钢集团有限公司,20582346
70,70,新兴际华集团有限公司,20466604
71,71,大同煤矿集团有限责任公司,20067736
72,72,大商集团有限公司,20043933
73,73,中国五矿集团公司,20036679
74,74,中国建筑材料集团有限公司,19925009
75,75,江西铜业集团公司,19830382
76,76,中国电子信息产业集团有限公司,19819149
77,77,中国华电集团公司,19756174
78,78,山西焦煤集团有限责任公司,19505866
79,79,国家电力投资集团公司,19240381
80,80,中国航天科技集团公司,19201631
81,81,中国国电集团公司,19177018
82,82,陕西煤业化工集团有限责任公司,19061424
83,83,中国船舶工业集团公司,18973172
84,84,海尔集团公司,18869388
85,85,海航集团有限公司,18578021
86,86,万科企业股份有限公司,18431705
87,87,物产中大集团股份有限公司,18257322
88,88,北京京东世纪贸易有限公司,18128696
89,89,山西潞安矿业（集团）有限责任公司,18000056
90,90,阳泉煤业(集团)有限责任公司,17790823
91,91,中国航天科工集团公司,17512976
92,92,中国通用技术（集团）控股有限责任公司,17387349
93,93,山西晋城无烟煤矿业集团有限责任公司,17327294
94,94,开滦（集团)有限责任公司,17168806
95,95,中国有色矿业集团有限公司,17086594
96,96,中国保利集团公司,16763849
97,97,中国大唐集团公司,16616058
98,98,中国电子科技集团公司,16597360
99,99,浙江吉利控股集团有限公司,16530399
100,100,华晨汽车集团控股有限公司,16054589
101,101,河南能源化工集团有限责任公司,16024564
102,102,新华人寿保险股份有限公司,15845300
103,103,山东能源集团有限公司,15796767
104,104,国美电器有限公司,15368559
105,105,光明食品（集团）有限公司,14755461
106,106,中国平煤神马能源化工集团有限责任公司,14683995
107,107,铜陵有色金属集团控股有限公司,14534744
108,108,海亮集团有限公司,14016131
109,109,中国航空油料集团公司,13889299
110,110,美的集团股份有限公司,13844123
111,111,万洲国际有限公司,13772276
112,112,首钢总公司,13520063
113,113,恒大地产集团有限公司,13313000
114,114,泰康人寿保险股份有限公司,13231325
115,115,上海烟草集团有限责任公司,13183197
116,116,黑龙江北大荒农垦集团总公司,13133564
117,117,厦门建发集团有限公司,13056886
118,118,鞍钢集团公司,12970755
119,119,上海建工集团股份有限公司,12543070
120,120,天津中环电子信息集团有限公司,12152383
121,121,百联集团有限公司,11983899
122,122,上海东浩兰生国际服务贸易(集团)有限公司,11894329
123,123,天津百利机械装备集团有限公司,11866099
124,124,陕西有色金属控股集团有限责任公司,11617681
125,125,万向集团公司,11535989
126,126,山东大王集团有限公司,11269181
127,127,中国南方航空集团公司,11220561
128,128,中国航空集团公司,11111975
129,129,中国太平保险集团有限责任公司,11109118
130,130,中国黄金集团公司,11074589
